,day,month,year,crash_time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,bad_road_infrastructure,car_failure,distraction,driver_mistake,illegal_action,medical,other_involvement
242,4,5,2017,14,40.786785,-73.80971,0,0,0,0,0,1,0,0,0
243,3,5,2017,3,40.699524,-73.83067,0,0,0,0,1,0,0,0,0
246,26,4,2017,8,40.82864,-73.85344,0,0,0,0,0,0,1,0,0
247,26,4,2017,16,40.619186,-73.9493,0,0,0,0,0,1,0,0,0
248,24,4,2017,13,40.710976,-73.97962,0,0,0,0,0,0,1,0,0
249,17,4,2017,17,40.713177,-73.89731,0,0,0,0,0,1,0,0,0
250,21,4,2017,16,40.623055,-74.11327,0,0,0,0,1,0,0,0,0
252,21,4,2017,10,40.625916,-74.13452,0,0,0,0,0,0,1,0,0
253,7,5,2017,16,40.712555,-73.89711,0,0,0,0,0,1,0,0,0
254,16,4,2017,7,40.750538,-73.940636,0,0,0,0,1,0,0,0,0
255,15,4,2017,0,40.710114,-74.012665,0,0,0,0,0,0,0,0,1
256,16,4,2017,13,40.71552,-74.00925,0,0,0,0,0,1,0,0,0
257,1,5,2017,17,40.694687,-73.95521,0,0,0,0,1,0,0,0,0
258,22,4,2017,14,40.62877,-73.91825,0,0,0,0,0,1,0,0,0
259,30,4,2017,3,40.686024,-73.81087,0,0,0,0,0,1,0,0,0
260,16,4,2017,13,40.777023,-73.77554,0,0,0,1,0,0,0,0,0
261,24,4,2017,16,40.67553,-73.96319,0,0,1,0,0,0,0,0,0
262,5,5,2017,9,40.663982,-73.72963,0,0,0,0,0,1,0,0,0
264,5,5,2017,19,40.738552,-73.99969,0,0,0,0,0,1,0,0,0
266,28,4,2017,20,40.73599,-73.86551,0,0,0,0,0,1,0,0,0
267,19,4,2017,9,40.74608,-73.974945,0,0,0,0,1,0,0,0,0
268,25,4,2017,8,40.720528,-73.87228,2,0,0,0,0,1,0,0,0
270,25,4,2017,14,40.686928,-73.98484,1,0,0,0,0,0,0,0,1
271,6,5,2017,19,40.8283,-73.92447,0,0,0,0,1,0,0,0,0
272,26,4,2017,10,40.689243,-73.98873,0,0,0,0,1,0,0,0,0
274,17,4,2017,14,40.85379,-73.89123,0,0,0,0,0,0,0,0,1
278,9,5,2017,9,40.753456,-73.941414,0,0,0,0,0,1,0,0,0
280,25,4,2017,16,40.765224,-73.9317,1,0,0,0,1,0,0,0,0
281,2,5,2017,17,40.791496,-73.97224,0,0,0,0,1,0,0,0,0
282,30,4,2017,0,40.702293,-73.79117,0,0,0,0,1,0,0,0,0
284,23,4,2017,7,40.666477,-73.808136,4,0,0,0,0,1,0,0,0
286,5,5,2017,14,40.70947,-73.74581,0,0,0,0,0,1,0,0,0
287,26,4,2017,8,40.886555,-73.878395,0,0,0,0,1,0,0,0,0
288,20,4,2017,23,40.722496,-73.940414,0,0,0,0,1,0,0,0,0
